ip_address,packets,traffic_in_bytes
142.250.196.138,28,2172
17.188.170.135,27,2106
49.102.155.1,27,2106
17.253.71.198,27,2106
17.57.145.25,27,2106
172.217.174.106,27,2094
142.250.207.42,26,2028
172.217.175.234,26,2028
172.217.31.138,26,2028
142.251.42.202,26,2028
142.250.199.106,26,2028
172.217.26.234,26,2028
ff02::1:ffa7:98d,21,1806
17.138.232.1,23,1794
17.57.145.134,21,1794
182.248.170.97,23,1778
ff02::1:ff89:df8a,20,1720
17.242.184.19,22,1716
17.138.144.4,22,1716
18.139.169.112,22,1684
17.33.195.38,22,1684
17.167.200.72,21,1638
ff02::1:ff9a:9015,19,1634
17.57.172.14,20,1560
17.57.172.13,20,1560
23.52.128.139,20,1560
23.52.128.132,20,1560
17.253.71.195,20,1560
142.250.157.109,20,1544
17.8.138.25,20,1544
23.217.68.208,19,1482
17.57.145.27,19,1482
147.92.249.185,19,1482
147.92.185.1,19,1482
147.92.185.2,19,1482
147.92.146.129,19,1482
ff02::1:ff0e:9601,17,1462
17.188.178.34,18,1404
17.188.170.10,18,1404
17.188.170.72,18,1404
17.57.145.153,18,1404
17.57.145.154,18,1404
17.57.145.150,18,1404
17.57.145.149,18,1404
23.217.70.135,18,1404
fe80::e9:702e:a32a:df8a,13,1382
ff02::1:ffae:9bcb,16,1376
17.253.114.43,15,1350
142.250.207.10,17,1326
142.250.196.106,17,1326
172.217.175.42,17,1326
106.10.237.24,16,1248
106.10.219.26,16,1248
13.227.74.106,16,1248
13.227.74.72,16,1248
13.227.74.77,16,1248
13.227.74.40,16,1248
fe80::1c5f:29bc:2532:3ae2,14,1184
10.4.130.104,2,1180
199.103.24.2,15,1170
49.102.153.239,15,1122
49.102.153.240,15,1122
23.192.46.130,14,1092
17.56.12.226,14,1092
17.36.206.8,14,1092
57.144.152.144,14,1092
192.168.100.11,11,1078
18.155.202.71,14,1036
216.239.32.223,14,1036
23.192.46.171,13,1014
31.13.82.3,13,1014
17.253.68.253,11,990
17.253.75.137,13,982
ff02::1:ff24:de05,11,946
17.8.138.37,12,904
fe80::563:1c10:f4e3:fd72,12,900
fe80::1897:a806:39ce:2b03,9,882
ff02::1:ffc4:9dbb,10,860
ff02::1:ffeb:572e,10,860
142.250.157.108,11,858
17.33.203.20,11,842
17.8.139.22,11,842
17.253.71.153,11,842
17.253.75.143,11,842
3.115.252.22,11,842
118.103.88.103,11,842
142.251.8.188,9,828
17.171.47.21,10,780
23.52.128.75,10,780
71.18.222.1,10,780
17.253.68.115,10,780
17.253.68.241,10,780
17.253.68.245,10,780
64.78.201.1,10,780
17.253.68.117,10,780
64.78.200.1,10,780
23.209.45.74,10,780
23.209.45.65,10,780
23.209.45.66,10,780
23.209.45.16,10,780
23.209.45.51,10,780
23.209.45.50,10,780
23.209.45.33,10,780
23.209.45.9,10,780
23.209.45.11,10,780
17.137.162.2,10,780
64.233.188.109,10,780
64.233.188.108,10,780
199.103.24.4,10,780
17.253.71.201,10,780
17.157.64.79,10,780
17.253.71.202,10,780
17.8.131.8,10,780
17.8.131.136,10,780
17.8.131.101,10,780
17.132.112.129,10,780
ff02::1:ffd2:f31c,9,774
ff02::1:fffe:5f22,9,774
ff02::1:ff5b:e9e5,9,774
ff02::1:ff1b:cba2,9,774
17.253.68.123,8,720
106.153.247.8,9,702
106.153.247.40,9,702
106.153.247.72,9,702
173.194.174.95,9,702
17.138.176.4,9,702
147.92.191.21,9,702
147.92.242.232,9,702
ff02::1:ffc1:8045,8,688
ff02::1:ff2b:a241,8,688
ff02::1:ff2e:1a30,8,688
17.253.68.125,7,630
17.253.68.251,7,630
17.138.160.4,8,624
17.138.175.254,8,624
52.68.113.29,8,624
52.198.115.147,8,624
13.113.183.189,8,624
23.48.114.33,8,624
151.101.110.73,8,624
ff02::1:ff32:3ae2,7,602
ff02::1:ff50:e2de,7,602
fe80::1cc0:320e:5635:47b7,5,600
17.57.145.55,7,546
17.36.206.7,7,546
17.57.12.16,7,546
17.57.12.243,7,546
17.57.12.242,7,546
142.251.170.207,7,546
142.250.157.207,7,546
17.36.206.9,7,546
17.167.200.71,7,546
31.13.67.175,7,546
157.240.14.175,7,546
57.144.162.36,7,546
23.209.45.42,7,546
23.209.45.58,7,546
23.209.45.17,7,546
23.209.45.27,7,546
157.240.31.7,7,546
18.155.202.13,7,525
ff02::1:ff57:9265,6,516
ff02::1:ff7c:a269,6,516
fe80::10f4:a90c:9408:219c,4,472
17.57.172.4,6,468
23.52.128.71,6,468
199.103.24.6,6,468
23.209.45.48,6,468
23.209.45.34,6,468
23.209.45.75,6,468
23.209.45.25,6,468
fe80::10c3:4ede:13fb:6b1,5,464
216.239.34.223,6,444
169.254.75.179,6,440
ff02::1:ff39:ea75,5,430
23.62.20.77,6,412
63.140.50.158,5,390
23.217.181.23,5,390
63.140.50.133,5,390
63.140.50.20,5,390
34.104.30.1,5,390
3.168.86.6,5,370
57.182.58.64,5,370
23.62.20.108,5,342
fe80::447:c532:79f7:5042,3,330
17.122.46.102,4,312
221.110.141.166,4,312
34.107.238.235,4,312
199.103.24.8,4,312
fe80::e9:2846:ad3d:6c50,3,297
35.72.142.241,4,296
3.168.86.26,4,296
3.168.86.13,4,296
52.196.173.102,4,296
3.168.86.39,4,296
52.6.49.69,4,295
52.12.246.69,4,288
18.246.94.14,4,288
98.82.161.174,4,288
ff02::1:ff78:7cc7,3,258
ff02::1:ff4e:2a6c,3,258
ff02::1:fff0:240f,3,258
23.192.46.195,3,234
23.192.46.145,3,234
23.192.46.120,3,234
23.192.46.123,3,234
17.253.71.200,3,234
23.53.3.148,3,234
3.115.131.22,3,222
fe80::30b5:fa7f:71f1:cb27,3,210
23.51.14.136,3,208
23.62.20.96,3,208
fe80::923c:1dff:fe90:fa6,2,190
103.131.151.30,2,180
45.76.211.39,2,180
151.248.68.194,2,180
167.179.119.205,2,180
ff02::1:fffb:6b1,2,172
ff02::1:fff0:a50c,2,172
ff02::1:ff69:4877,2,172
23.216.153.94,2,156
23.216.153.73,2,156
23.216.153.70,2,156
23.216.153.71,2,156
23.216.153.72,2,156
23.216.153.93,2,156
23.53.3.145,2,156
23.216.153.95,2,156
74.125.204.188,2,148
17.253.69.210,2,140
17.253.75.133,2,140
17.253.69.209,2,140
31.13.82.40,2,132
74.125.68.95,2,126
ff02::1:ffce:2b03,1,86
ff02::1:ff2a:df8a,1,86
ff02::1:ffe3:fd72,1,86
172.224.180.134,1,78
172.224.110.17,1,78
23.53.3.135,1,78
23.63.233.54,1,78
23.53.3.150,1,78
23.63.233.52,1,78
23.53.3.132,1,78
23.63.233.8,1,78
34.95.101.116,1,78
23.53.3.144,1,78
23.63.233.48,1,78
23.53.3.139,1,78
23.63.233.51,1,78
23.63.233.17,1,78
23.63.233.58,1,78
23.63.233.56,1,78
fe80::d482:26aa:3175:4dc3,1,70
fe80::1f60:d21d:e0dc:b385,1,70
192.168.130.28,1,66
142.250.196.110,1,66
172.217.161.67,1,66
216.239.36.175,1,66
3.168.86.122,1,66
99.83.210.132,1,66
74.125.203.188,1,66
108.139.5.176,1,66
172.19.0.6,1,66
