source,dest,packets,traffic_in_bytes
192.168.130.116,17.248.167.53,68,38154
192.168.34.56,17.248.167.86,67,38076
192.168.34.56,17.248.167.102,67,38076
192.168.129.212,172.224.180.136,67,38076
192.168.129.212,172.224.180.133,67,38076
192.168.130.116,17.248.167.36,67,38076
192.168.128.72,31.13.82.1,64,38000
192.168.128.52,17.248.167.52,66,37998
192.168.130.44,172.224.180.132,65,37920
192.168.130.116,17.248.167.41,65,37920
192.168.33.184,17.248.167.54,63,37764
192.168.130.44,17.248.167.100,62,37686
192.168.129.88,172.224.111.12,27,37584
192.168.129.69,172.224.110.5,27,37584
192.168.33.184,17.248.167.43,60,37530
192.168.130.76,192.168.63.253,486,37460
192.168.131.16,17.248.167.54,58,37374
17.248.225.44,192.168.130.104,89,37335
192.168.130.208,17.248.167.54,73,37230
192.168.129.173,17.248.167.37,73,37230
192.168.128.72,172.224.110.11,72,37152
192.168.128.72,172.224.110.4,72,37152
192.168.131.16,17.248.167.88,71,37074
192.168.130.44,172.224.180.6,70,36996
192.168.131.132,17.248.167.69,69,36918
192.168.130.116,17.248.167.72,67,36762
192.168.128.52,17.248.167.59,66,36684
192.168.128.52,17.248.167.105,66,36684
192.168.129.173,172.224.111.10,66,36684
192.168.131.132,17.248.167.73,66,36684
192.168.131.132,17.248.167.75,66,36684
192.168.131.132,17.248.167.39,66,36684
192.168.130.208,17.248.167.84,66,36684
192.168.130.208,17.248.167.75,66,36684
192.168.129.40,172.224.111.10,66,36684
192.168.129.40,172.224.180.137,66,36684
192.168.129.173,17.248.167.36,66,36684
192.168.129.173,17.248.167.104,66,36684
192.168.131.16,172.224.110.8,66,36684
192.168.128.72,172.224.180.136,66,36684
192.168.131.16,17.248.167.70,82,36618
192.168.128.72,172.224.111.4,65,36606
192.168.128.72,172.224.110.12,65,36606
192.168.131.16,17.248.167.41,65,36606
192.168.130.116,17.248.167.73,65,36606
192.168.129.173,17.248.167.38,64,36528
192.168.130.116,17.248.167.87,64,36528
192.168.130.116,17.248.167.37,64,36528
192.168.130.224,17.248.167.39,63,36450
192.168.130.116,17.248.167.43,63,36450
192.168.131.16,17.248.167.106,79,36384
192.168.130.224,17.248.167.107,62,36372
192.168.130.224,17.248.167.69,62,36372
192.168.129.40,17.248.167.90,78,36306
192.168.129.69,172.224.110.4,26,36192
192.168.129.88,172.224.180.8,26,36192
192.168.128.72,172.224.180.137,59,36138
192.168.33.184,17.248.167.69,57,35982
192.168.128.72,31.13.82.142,50,35516
192.168.130.224,172.224.180.8,67,35448
192.168.129.24,192.168.63.253,464,35308
192.168.129.212,172.224.110.6,64,35214
192.168.129.212,172.224.111.16,64,35214
192.168.130.224,17.248.167.84,64,35214
192.168.131.16,172.224.180.6,64,35214
192.168.129.173,17.248.167.69,63,35136
192.168.130.224,17.248.167.91,62,35058
192.168.129.69,151.101.67.6,74,34650
192.168.129.69,151.101.3.6,74,34614
192.168.33.247,17.248.167.72,56,34542
192.168.129.69,151.101.195.6,70,34302
192.168.129.173,17.248.167.85,69,34290
192.168.128.72,17.248.167.89,52,34278
192.168.129.180,17.248.225.70,438,34164
192.168.128.52,17.248.167.88,67,34134
192.168.130.224,172.224.111.13,60,33588
192.168.33.120,17.248.225.65,430,33540
192.168.130.44,172.224.110.7,59,33510
192.168.130.116,172.224.111.10,59,33510
192.168.130.116,172.224.111.11,59,33510
192.168.130.116,172.224.111.4,59,33510
192.168.130.116,172.224.111.15,59,33510
192.168.130.116,172.224.111.6,59,33510
192.168.130.208,17.248.167.40,58,33432
192.168.128.52,17.248.167.90,58,33432
192.168.129.173,17.248.167.71,58,33432
192.168.130.224,172.224.110.6,58,33432
192.168.130.224,172.224.180.10,58,33432
192.168.129.69,172.224.180.6,24,33408
192.168.129.69,172.224.110.17,24,33408
192.168.129.69,172.224.180.132,24,33408
192.168.131.132,17.248.167.59,57,33354
192.168.34.57,192.168.63.254,68,33150
192.168.131.16,172.224.111.13,71,33132
192.168.33.247,17.248.167.53,53,33010
192.168.129.40,17.248.167.104,69,32976
192.168.129.212,17.248.167.89,67,32820
192.168.130.224,172.224.110.11,63,32508
192.168.128.52,17.248.167.53,63,32508
192.168.131.16,17.248.225.14,416,32448
192.168.131.192,17.248.225.65,415,32370
192.168.130.104,17.248.225.69,56,32296
192.168.130.224,8.8.4.4,413,32214
192.168.128.52,17.248.167.69,58,32118
192.168.129.212,17.248.167.68,58,32118
192.168.130.224,17.248.167.73,57,32040
