dest,packets,traffic_in_bytes
17.253.68.123,46,4140
3.164.110.62,33,4120
23.62.20.73,36,4030
23.62.20.79,41,3907
23.217.68.208,50,3900
17.36.206.7,49,3822
54.211.32.144,49,3822
23.62.185.138,18,3757
106.10.237.24,48,3712
106.10.219.26,48,3712
17.253.71.200,47,3666
ff02::1:ffc5:fcc,41,3526
210.161.21.14,10,3524
17.253.75.137,45,3430
182.161.74.47,14,3402
44.209.114.137,42,3276
54.165.186.178,42,3276
3.227.117.221,42,3276
34.206.148.87,42,3276
54.85.206.200,42,3276
44.214.86.79,42,3276
18.235.95.61,42,3276
18.214.177.77,42,3276
3.217.171.52,42,3276
52.71.182.210,42,3276
23.22.74.28,42,3276
3.229.73.70,42,3276
98.89.192.24,42,3276
44.217.163.23,42,3276
44.207.95.87,42,3276
44.218.192.56,42,3276
44.211.14.43,42,3276
192.168.159.255,13,3231
23.55.208.216,40,3120
13.219.187.152,39,3042
52.1.98.92,39,3042
52.7.215.96,39,3042
23.48.114.33,38,2964
18.207.55.189,38,2964
3.234.65.156,38,2964
23.23.194.168,38,2964
52.54.155.95,38,2964
108.139.10.104,15,2958
17.253.75.146,38,2948
17.138.175.254,37,2886
54.243.40.134,37,2886
142.250.157.109,37,2870
52.11.127.249,20,2824
147.92.242.232,36,2808
182.22.25.124,22,2784
23.21.189.174,35,2730
71.18.252.203,12,2728
17.33.203.11,35,2714
18.65.185.29,26,2663
17.253.71.201,34,2652
142.250.199.101,17,2620
17.253.69.209,34,2604
52.69.138.105,26,2591
17.253.75.139,33,2526
17.57.163.32,32,2496
17.57.163.33,32,2496
ff02::1:ffa7:98d,29,2494
34.198.43.241,31,2418
17.253.75.138,31,2386
17.242.184.19,30,2340
17.8.131.8,30,2340
17.8.131.136,30,2340
17.8.131.101,30,2340
17.253.71.153,30,2324
ff02::1:ff9a:9015,27,2322
ff02::1:ff89:df8a,27,2322
17.33.195.38,30,2308
34.120.208.123,34,2204
142.250.157.108,28,2184
173.194.174.95,28,2184
17.32.194.34,28,2184
17.32.194.2,28,2184
18.211.185.80,28,2184
3.225.1.51,28,2184
54.85.82.125,28,2184
3.89.178.173,28,2184
3.229.40.197,28,2184
23.23.59.204,28,2184
54.210.146.119,28,2184
3.229.174.154,28,2184
174.129.5.204,28,2184
17.8.138.25,28,2168
147.92.191.146,13,2132
23.204.139.214,27,2106
23.204.139.207,27,2106
44.215.22.101,27,2106
52.72.28.25,27,2106
3.212.75.125,27,2106
3.209.63.135,26,2028
34.235.217.192,26,2028
17.253.75.135,26,2012
17.122.46.102,26,1996
23.51.14.162,22,1968
ff02::1:ffae:9bcb,22,1892
ff02::1:ff0e:9601,22,1892
221.110.141.166,23,1794
64.233.188.109,23,1794
3.225.209.93,23,1794
3.223.113.59,23,1794
54.86.35.55,23,1794
54.85.6.137,23,1794
18.204.126.44,23,1794
35.170.176.236,23,1794
54.198.126.17,23,1794
44.217.6.108,23,1794
52.38.186.244,20,1767
44.213.229.55,22,1716
100.28.52.74,22,1716
23.21.203.205,22,1716
17.8.139.40,22,1700
118.103.88.103,22,1684
34.200.68.119,21,1638
18.207.76.236,21,1638
34.196.238.166,21,1638
34.200.84.140,21,1638
23.20.150.3,21,1638
18.206.112.201,21,1638
52.72.90.28,21,1638
17.179.252.18,21,1638
44.218.67.28,21,1638
44.213.145.234,21,1638
35.171.231.210,21,1638
52.1.116.104,21,1638
44.193.240.157,21,1638
34.230.132.48,21,1638
44.208.196.238,21,1638
34.225.66.0,21,1638
34.231.162.77,21,1638
17.253.75.145,21,1622
17.57.145.54,15,1603
17.57.172.14,20,1560
17.57.172.13,20,1560
17.171.47.21,20,1560
23.209.45.65,20,1560
23.209.45.66,20,1560
17.137.162.2,20,1560
64.233.188.108,20,1560
17.253.71.202,20,1560
31.13.82.3,20,1560
17.132.112.129,20,1560
23.217.136.189,20,1560
44.207.109.16,20,1560
3.210.99.240,20,1560
23.223.118.32,20,1560
54.153.35.249,21,1554
17.253.75.142,19,1482
17.171.47.86,19,1482
216.239.38.135,19,1482
17.23.96.10,19,1482
